model,adc_bits,chip_area_um2,adc_area_um2,adc_area_pct,array_area_um2,accum_area_um2,ic_area_um2,adc_energy_pJ,energy_pJ
opt1.3b,3,9495488853.333332,372686734.2222222,3.924882014804249,410555676.4444444,1472012743.111111,1313242965.3333333,18762897.63555555,65105937.066666655
opt1.3b,4,9878301013.333332,577021895.111111,5.841307066187497,410555676.4444444,1585935246.222222,1341238670.222222,30851308.65777777,73111250.48888889
opt1.3b,5,10396900693.333332,905199047.111111,8.706431597365741,410555676.4444444,1699859171.5555553,1378332956.4444444,54295594.09777778,86902465.42222221
opt1.3b,6,11468505315.555555,1781038592.0,15.52982313732069,410555676.4444444,1813780650.6666665,1452204942.222222,100817783.46666667,112662363.02222222
opt1.3b,7,13320545848.888887,3248816924.444444,24.389517976963678,410555676.4444444,1927702869.3333333,1572178488.8888888,193679166.57777777,162141627.73333332
opt1.3b,8,16310877297.777777,5794472960.0,35.52520722346093,410555676.4444444,2041625372.4444444,1749460480.0,379311217.77777773,258910566.39999998
opt1.3b,9,23772958720.0,11681245297.777777,49.13669112608368,410555676.4444444,2155549297.7777777,2130976711.111111,750528056.8888888,451386140.4444444
opt1.3b,10,40130966755.55555,25639748835.555553,63.890184833402,410555676.4444444,2269472483.5555553,2795864177.7777777,1492939889.7777777,834572629.3333333
