1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,3072,0,1
1,1,3072,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,3072,0,1
1,1,3072,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,3072,0,1
1,1,3072,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,3072,0,1
1,1,3072,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,3072,0,1
1,1,3072,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,3072,0,1
1,1,3072,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,3072,0,1
1,1,3072,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,3072,0,1
1,1,3072,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,3072,0,1
1,1,3072,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,3072,0,1
1,1,3072,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,3072,0,1
1,1,3072,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,768,0,1
1,1,768,1,1,3072,0,1
1,1,3072,1,1,768,0,1
1,1,768,1,1,50272,0,1
