adc_bits,ppl_baseline,sat_baseline,ppl_cim_sq,sat_cim_sq
3,16535914.469969664,0.06388705261530338,23580721.174678363,0.0658505364069863
4,520801.74488032534,0.059741154855971784,534001.3682289828,0.0597618310629916
5,54771.01403380223,0.05929183397703971,42376.59519733988,0.05768709319699288
6,10848.89427822165,0.0590021447710079,13328.827885810202,0.05981212264195772
7,5607.107076770385,0.05798889471560109,6705.3806137771635,0.05918985267345057
8,5767.543041374941,0.05852382051521238,5782.626192471601,0.05631055392195398
9,5937.844345550018,0.058498981876618374,5348.3354953840635,0.05729517976352868
10,5491.481818981189,0.05835420532111228,5495.30491205855,0.058975645456004124
