adc_bits,ppl_baseline,ppl_cim_sq
3,158676495.7415336,176139677.35712007
4,887362.0612952946,883195.5517963199
5,30885.23206162942,31443.74972114002
6,660.4538808727362,663.9244462361032
7,85.19019005898927,85.01323508103195
8,56.0758492568366,56.24460458391461
9,47.32736197716334,47.258989177262464
10,43.17382045100776,43.05238894843386
