config,ppl,sat_rate,adc_area_mm2,chip_area_mm2,adc_area_pct,adc_savings_pct,n_4b_layers,n_5b_layers,n_6b_layers,n_7b_layers,n_8b_layers
Uniform 7b (baseline),328.4287331402385,0.0351377317275363,228.4324400000002,936.6008800000002,24.389517976963692,-8.881784197001252e-14,0,0,0,73,0
Uniform 6b,327.9394973530903,0.03539160906990813,114.2162200000001,822.3846600000002,13.888418103518623,49.99999999999996,0,0,73,0,0
Mixed-Greedy (20% target),329.2382285277159,0.03521155554579765,181.49426739726042,889.6627073972604,20.400345646523537,20.54794520547939,0,0,30,43,0
Mixed-ILP (20% target),327.53480183519355,0.03513838753915731,181.4942673972603,889.6627073972603,20.400345646523526,20.547945205479433,0,0,30,43,0
SQ + Uniform 6b,327.03660525731647,0.03555817784613575,62.61463800000009,743.7646420000001,8.418609122319648,49.999999999999936,0,0,73,0,0
SQ + Uniform 7b,328.15185906897307,0.034971145910134435,228.4324400000002,936.6008800000002,24.389517976963692,-8.881784197001252e-14,0,0,0,73,0
SQ + Mixed-ILP (20% target),333.67897450733096,0.03551253891378169,182.6677217123288,890.8361617123288,20.5051983252692,20.03424657534244,1,1,26,45,0
