adc_bits,ppl_baseline,sat_baseline,ppl_cim_sq,sat_cim_sq
3,479.98620426087354,0.034642940210848676,472.37478191500395,0.03424874614158765
4,372.7169374595784,0.034699111786546104,365.3081788056958,0.03505572124541248
5,343.3824333363346,0.03500035513125633,347.04076227332456,0.03478052441722092
6,344.50078751596453,0.035204595431433824,339.8133658300614,0.03511244682715891
7,343.0473825699841,0.03512110315067729,337.42524120858604,0.03524184633772778
8,346.1042420903611,0.03517172139913365,340.27101932569553,0.03499402372824734
9,341.93523574745035,0.03501694543740443,340.2776717992251,0.03518899157360712
10,338.59025881371974,0.03503732289519776,341.54146941335085,0.03485309448297182
