model,adc_bits,chip_area_um2,adc_area_um2,adc_area_pct,array_area_um2,accum_area_um2,ic_area_um2,adc_energy_pJ,energy_pJ
opt350m,3,2376839553.6,93288148.16,3.924882014804249,102767217.76,368463189.76,328721129.76,4696587.8144,16296829.871999998
opt350m,4,2472662222.4,144435793.12,5.841307066187497,102767217.76,396979416.32,335728804.64,7722468.198399999,18300659.888
opt350m,5,2602474204.8,226582636.48,8.706431597365741,102767217.76,425495998.88,345013968.16,13590865.8976,21752773.376
opt350m,6,2870710236.8,445816222.56,15.52982313732069,102767217.76,454011969.12,363505049.6,25235951.424000002,28200797.744000003
opt350m,7,3334299132.8,813219486.4,24.389517976963678,102767217.76,482528124.48,393535928.0,48480316.384,40586076.192
opt350m,8,4082816473.6,1450429012.8,35.52520722346093,102767217.76,511044351.04,437911826.40000004,94946339.2,64808551.151999995
opt350m,9,5950668729.6,2923961713.6,49.13669112608368,102767217.76,539560933.6,533410108.0,187866554.24,112987593.28
opt350m,10,10045282616.0,6417949630.400001,63.890184833402,102767217.76,568077331.04,699839752.0,373701516.16,208903961.28
