model,config,ppl,adc_area_mm2,adc_savings_pct,n_6b,n_7b
opt-350m,Uniform 7b,869.0781001718947,813.2194864000024,-3.1086244689504383e-13,0,147
opt-350m,Uniform 6b,873.7924986602608,406.6097432000012,49.999999999999844,147,0
opt-350m,ILP 20%,999.4710324640758,101.6524358000003,87.49999999999996,0,0
