config,target_savings,chip_area_mm2,adc_area_mm2,adc_area_pct,adc_savings_pct,total_energy_pJ,adc_energy_pJ,energy_savings_pct
Uniform 6b,,11696.137386666662,1624.4084622222194,13.888418103518596,50.000000000000085,65302044.4444447,96839583.28888915,59.725305982592026
Uniform 7b,0,13320.545848888882,3248.816924444439,24.38951797696365,1.6653345369377348e-13,162141627.73333386,193679166.5777783,-3.3306690738754696e-13
Uniform 8b,,16569.36277333332,6497.633848888878,39.214747952444796,-99.99999999999967,355820794.31111217,387358333.1555566,-119.45061196518503
ILP 5%,5.0,13152.50359417624,3080.774669731796,23.423484720398967,5.172413793103581,152123739.80689698,183661278.65134144,6.178479929233404
Greedy 5%,5.0,13152.50359417624,3080.774669731796,23.423484720398967,5.172413793103581,152123739.80689698,183661278.65134144,6.178479929233404
ILP 10%,10.0,12995.664156444438,2923.935231999997,22.499313592603443,10.000000000000075,142773711.0755559,174311249.92000034,11.945061196518225
Greedy 10%,10.0,12995.664156444438,2923.935231999997,22.499313592603443,10.000000000000075,142773711.0755559,174311249.92000034,11.945061196518225
ILP 15%,15.0,12827.621901731796,2755.8929772873535,21.48405213686017,15.172413793103523,132755823.14911905,164293361.9935635,18.12354112575194
Greedy 15%,15.0,12827.621901731796,2755.8929772873535,21.48405213686017,15.172413793103523,132755823.14911905,164293361.9935635,18.12354112575194
ILP 20%,20.0,12670.782463999996,2599.0535395555526,20.512178683044535,20.000000000000085,123405794.41777807,154943333.26222253,23.890122393036684
Greedy 20%,20.0,12670.782463999996,2599.0535395555526,20.512178683044535,20.000000000000085,123405794.41777807,154943333.26222253,23.890122393036684
ILP 25%,25.0,12502.740209287353,2431.0112848429108,19.44382786612725,25.172413793103477,113387906.4913412,144925445.33578566,30.068602322270422
Greedy 25%,25.0,12502.740209287353,2431.0112848429108,19.44382786612725,25.172413793103477,113387906.4913412,144925445.33578566,30.068602322270422
ILP 30%,30.0,12345.900771555553,2274.1718471111108,18.420461084141458,30.000000000000004,104037877.76000017,135575416.60444462,35.83518358955521
Greedy 30%,30.0,12345.900771555553,2274.1718471111108,18.420461084141458,30.000000000000004,104037877.76000017,135575416.60444462,35.83518358955521
ILP 40%,40.0,12021.019079111107,1949.2901546666646,16.215681398043376,40.00000000000006,84669961.10222246,116207499.94666691,47.7802447860736
Greedy 40%,40.0,12021.019079111107,1949.2901546666646,16.215681398043376,40.00000000000006,84669961.10222246,116207499.94666691,47.7802447860736
ILP 50%,50.0,11696.137386666662,1624.4084622222194,13.888418103518596,50.000000000000085,65302044.4444447,96839583.28888915,59.725305982592026
Greedy 50%,50.0,11696.137386666662,1624.4084622222194,13.888418103518596,50.000000000000085,65302044.4444447,96839583.28888915,59.725305982592026
