config,total_energy_pJ,adc_energy_pJ,energy_savings_pct,adc_savings_pct
Uniform 7b,11400583.2,13618066.4,0.0,0.0
Uniform 6b,4871267.2,7088750.4,57.27177185111021,45.17885638309516
SQ + Uniform 6b,4871267.2,7088750.4,57.27177185111021,45.17885638309516
ILP 20%,8717302.652054794,10934785.852054795,23.53634459634666,20.5
SQ + ILP 20%,8717302.652054794,10934785.852054795,23.53634459634666,20.5
